"排名 
","基金名稱 
","基金公司 
","淨值日期 
","一個月(%) 
","三個月(%) 
","六個月(%) 
","一年(%) 
","三年(%) 
","五年(%) 
","十年(%) 
"
49,富邦高成長基金,富邦投信,09/17,12.18,9.14,13.01,42.03,105.00,176.50,199.57
50,統一龍馬基金,統一投信,09/17,5.56,-1.00,13.66,41.98,94.67,152.53,250.10
51,元大多福基金,元大投信,09/17,4.76,1.20,14.01,41.73,70.37,75.87,140.90
52,匯豐台灣精典基金,匯豐中華投信,09/17,5.93,3.71,13.81,41.50,71.81,114.92,149.43
53,宏利台灣動力基金A類,宏利投信,09/17,12.11,7.48,19.20,41.33,85.54,138.51,346.27
54,富邦長紅基金,富邦投信,09/17,12.35,9.05,12.73,41.07,102.07,162.60,196.37
55,復華高成長基金,復華投信,09/17,9.16,2.46,14.25,40.92,74.71,156.04,378.46
56,元大經貿基金,元大投信,09/17,7.09,-2.04,8.62,40.60,75.06,124.04,190.50
57,凱基台灣精五門基金,凱基投信,09/17,8.38,5.29,18.12,40.45,90.95,84.53,173.70
58,統一全天候基金,統一投信,09/17,8.56,-1.92,14.49,40.19,100.09,172.36,344.83
59,鋒裕匯理阿波羅基金,鋒裕匯理投信,09/17,8.02,5.07,23.73,40.17,60.38,108.12,160.00
60,永豐臺灣ESG永續優選基金-I類型,永豐投信,09/17,3.13,-0.98,11.41,39.67,N/A,N/A,N/A
61,永豐臺灣ESG永續優選基金-累積型,永豐投信,09/17,3.13,-0.98,11.41,39.67,N/A,N/A,N/A
62,永豐臺灣ESG永續優選基金-年配型,永豐投信,09/17,3.15,-1.03,11.38,39.64,N/A,N/A,N/A
63,富邦精準基金,富邦投信,09/17,9.18,2.94,8.06,38.52,96.61,141.77,109.31
64,富邦富邦基金,富邦投信,09/17,7.96,3.50,14.28,38.32,105.67,179.47,221.78
65,兆豐國際國民基金,兆豐投信,09/17,6.61,4.13,17.08,37.16,83.70,97.39,110.50
66,台新主流基金,台新投信,09/17,7.20,1.99,11.15,36.62,71.83,114.63,305.24
67,保德信高成長基金,保德信投信,09/17,1.52,-0.76,8.55,36.00,104.42,145.52,211.08
68,保德信新世紀基金,保德信投信,09/17,3.47,0.74,14.36,34.63,41.81,66.93,91.63
69,群益奧斯卡基金,群益投信,09/17,15.20,5.26,9.56,33.79,105.24,146.32,244.94
70,復華全方位基金,復華投信,09/17,10.08,4.03,15.90,32.69,77.31,160.09,405.81
71,匯豐成功基金,匯豐中華投信,09/17,3.61,1.00,17.38,32.19,34.85,72.75,105.28
72,摩根台灣增長基金,摩根投信,09/17,4.31,2.35,6.72,32.13,51.39,72.33,137.67
73,景順主流基金,景順投信,09/17,3.79,-1.45,2.47,31.63,80.52,78.52,118.60
74,元大新主流基金,元大投信,09/17,8.53,2.17,7.41,31.42,75.63,120.40,173.44
75,統一大滿貫基金,統一投信,09/17,5.58,-0.87,9.52,31.14,67.71,124.90,183.18
76,柏瑞巨人基金,柏瑞投信,09/17,3.49,-1.98,6.63,31.03,49.50,81.05,144.92
77,貝萊德寶利基金,貝萊德投信,09/17,5.67,3.48,6.39,30.92,80.13,147.16,408.23
78,群益馬拉松基金,群益投信,09/17,0.03,-6.75,11.54,28.68,50.89,94.71,172.24
79,群益馬拉松基金I類型,群益投信,09/17,0.03,-6.75,11.54,28.68,50.86,N/A,N/A
80,台中銀大發基金,台中銀投信,09/17,8.26,7.26,12.29,28.52,73.99,80.24,190.43
81,國泰台灣ESG永續高股息ETF基金(本基金之配息來源可能為收益平準金),國泰投信,09/17,5.09,1.14,6.69,28.32,N/A,N/A,N/A
82,復華復華基金,復華投信,09/17,8.10,0.77,5.17,28.21,66.65,139.02,281.90
83,德銀遠東DWS台灣旗艦基金,德銀遠東投信,09/17,6.70,3.22,6.20,28.07,112.27,97.02,117.26
84,元大台灣高股息優質龍頭基金A不配息,元大投信,09/17,4.06,-3.25,3.03,28.05,N/A,N/A,N/A
85,元大台灣高股息優質龍頭基金B配息(本基金之配息來源可能為收益平準金),元大投信,09/17,4.01,-3.27,3.04,27.92,N/A,N/A,N/A
86,保德信金滿意基金,保德信投信,09/17,2.17,-1.30,5.26,27.05,63.20,94.33,138.73
87,永豐永豐基金,永豐投信,09/17,12.25,8.23,10.04,25.67,41.90,74.09,89.25
88,永豐永豐基金-I類型,永豐投信,09/17,12.25,8.23,10.04,25.67,N/A,N/A,N/A
89,路博邁AR台灣股票基金T累積型(基金之配息來源可能為本金),路博邁投信,09/17,3.62,0.92,6.15,25.04,43.73,N/A,N/A
90,路博邁AR台灣股票基金T月配型(基金之配息來源可能為本金),路博邁投信,09/17,3.67,0.90,6.19,25.03,43.77,N/A,N/A
91,路博邁AR台灣股票基金N月配型(基金之配息來源可能為本金),路博邁投信,09/17,3.62,0.89,6.16,24.89,N/A,N/A,N/A
92,街口台灣基金,街口投信,09/17,7.59,-1.06,-5.27,23.32,40.08,130.39,98.39
93,景順潛力基金,景順投信,09/17,3.42,-2.23,1.50,21.46,42.89,41.00,79.13
94,宏利臺灣股息收益基金A類,宏利投信,09/17,5.31,-3.90,2.43,20.33,46.58,78.12,193.92
95,日盛首選基金,日盛投信,09/17,7.67,4.01,2.54,17.56,72.16,124.75,241.08
96,路博邁AR台灣股票基金N累積型(基金之配息來源可能為本金),路博邁投信,09/17,3.70,1.95,13.19,13.19,N/A,N/A,N/A
97,日盛日盛基金,日盛投信,09/17,9.81,3.92,-2.02,12.09,53.25,116.66,140.55
98,匯豐龍鳳基金I類型,匯豐中華投信,03/26,-15.79,-19.07,-11.92,-6.31,N/A,N/A,N/A
99,匯豐龍鳳基金R類型,匯豐中華投信,09/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
100,群益馬拉松基金N類型,群益投信,09/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101,柏瑞巨人基金I不配息(台幣),柏瑞投信,09/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102,兆豐台灣金傳精選股息基金A累積型(台幣),兆豐投信,09/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
103,兆豐台灣金傳精選股息基金N後收型(台幣),兆豐投信,09/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,永豐永豐基金-R類型,永豐投信,09/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105,國泰小龍基金-R類型(台幣),國泰投信,09/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
106,復華台灣好收益基金,復華投信,09/17,9.73,3.88,15.13,N/A,N/A,N/A,N/A
107,保德信新世紀基金-R累積型,保德信投信,09/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
108,路博邁AR台灣股票基金I月配型(基金之配息來源可能為本金),路博邁投信,09/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
109,路博邁AR台灣股票基金I累積型(基金之配息來源可能為本金),路博邁投信,09/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
110,日盛上選基金-N類型,日盛投信,09/17,8.70,6.26,25.20,N/A,N/A,N/A,N/A
111,日盛台灣永續成長股息基金,日盛投信,09/17,8.53,7.36,N/A,N/A,N/A,N/A,N/A
112,保德信金滿意基金-R累積型,保德信投信,09/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
113,元大台灣高股息優質龍頭基金I不配息,元大投信,09/17,4.06,-3.31,3.03,N/A,N/A,N/A,N/A
114,元大台灣高股息優質龍頭基金I配息(本基金之配息來源可能為收益平準金),元大投信,09/17,3.75,-3.98,1.53,N/A,N/A,N/A,N/A
